CKJNFLKG_00001 ko:K00041
CKJNFLKG_03371 ko:K01951
CKJNFLKG_03372 -
CKJNFLKG_03373 -
CKJNFLKG_03374 ko:K01951
CKJNFLKG_03375 -
CKJNFLKG_03376 ko:K06283
CKJNFLKG_03378 -
CKJNFLKG_03379 -
CKJNFLKG_03380 -
CKJNFLKG_03381 -
CKJNFLKG_03384 -
CKJNFLKG_03385 -
CKJNFLKG_03388 ko:K02120
CKJNFLKG_03389 ko:K02118
CKJNFLKG_03390 ko:K02117
CKJNFLKG_03391 ko:K02122
CKJNFLKG_03392 ko:K02119
CKJNFLKG_03393 ko:K02121
CKJNFLKG_03395 ko:K02124
CKJNFLKG_03396 ko:K02123
CKJNFLKG_03398 ko:K10439
CKJNFLKG_03400 ko:K06180
CKJNFLKG_03401 ko:K01681
CKJNFLKG_03403 ko:K02647
CKJNFLKG_03404 ko:K10112
CKJNFLKG_03405 -
CKJNFLKG_03406 -
CKJNFLKG_03407 -
CKJNFLKG_03408 -
CKJNFLKG_03409 ko:K01810
CKJNFLKG_03410 -
CKJNFLKG_03411 ko:K01243
CKJNFLKG_03412 -
CKJNFLKG_03433 -
CKJNFLKG_03434 -
CKJNFLKG_03437 -
CKJNFLKG_03438 -
CKJNFLKG_03439 -
CKJNFLKG_03452 -
CKJNFLKG_03453 -
CKJNFLKG_03454 -
CKJNFLKG_03455 -
CKJNFLKG_03456 -
CKJNFLKG_03457 -
CKJNFLKG_03458 -
CKJNFLKG_03461 -
CKJNFLKG_03463 -
CKJNFLKG_03464 -
CKJNFLKG_03465 ko:K01915
CKJNFLKG_03466 ko:K07576
CKJNFLKG_03467 -
CKJNFLKG_03468 -
CKJNFLKG_03469 ko:K02563
CKJNFLKG_03470 ko:K03088
CKJNFLKG_03471 ko:K02503
CKJNFLKG_03473 ko:K19225
CKJNFLKG_03474 -
CKJNFLKG_03475 -
CKJNFLKG_03477 -
CKJNFLKG_03478 -
CKJNFLKG_03479 -
CKJNFLKG_03480 -
CKJNFLKG_03481 ko:K12510
CKJNFLKG_03482 ko:K02283
CKJNFLKG_03483 -
CKJNFLKG_03484 ko:K02278
CKJNFLKG_03485 -
CKJNFLKG_03486 ko:K03976
CKJNFLKG_03487 -
CKJNFLKG_03488 ko:K01738
CKJNFLKG_03490 ko:K07282
CKJNFLKG_03491 ko:K00027
CKJNFLKG_03493 -
CKJNFLKG_03494 -
CKJNFLKG_03495 -
CKJNFLKG_03497 -
CKJNFLKG_03498 -
CKJNFLKG_03499 ko:K03308
CKJNFLKG_03500 -
CKJNFLKG_03501 ko:K09117
CKJNFLKG_03508 ko:K03439
CKJNFLKG_03509 -
CKJNFLKG_03510 ko:K02119
CKJNFLKG_03511 ko:K02123
CKJNFLKG_03512 ko:K02124
CKJNFLKG_03513 ko:K02122
CKJNFLKG_03514 -
CKJNFLKG_03515 ko:K02117
CKJNFLKG_03516 ko:K02118
CKJNFLKG_03517 ko:K02120
CKJNFLKG_03519 ko:K02040
CKJNFLKG_03520 ko:K02037
CKJNFLKG_03521 ko:K02038
CKJNFLKG_03522 ko:K02036
CKJNFLKG_03523 ko:K02039
CKJNFLKG_03524 ko:K07658
CKJNFLKG_03525 ko:K07636
CKJNFLKG_03526 ko:K00849
CKJNFLKG_03527 -
CKJNFLKG_03528 -
CKJNFLKG_03529 -
CKJNFLKG_03530 -
CKJNFLKG_03533 -
CKJNFLKG_03534 ko:K08483
CKJNFLKG_03535 -
CKJNFLKG_03536 -
CKJNFLKG_03537 ko:K00882
CKJNFLKG_03540 ko:K15024
CKJNFLKG_03541 -
CKJNFLKG_03543 -
CKJNFLKG_03545 ko:K07406
CKJNFLKG_03546 ko:K02026
CKJNFLKG_03552 -
CKJNFLKG_03553 -
CKJNFLKG_03555 -
CKJNFLKG_03556 -
CKJNFLKG_03557 -
CKJNFLKG_03558 -
CKJNFLKG_03559 -
CKJNFLKG_03560 -
CKJNFLKG_03561 ko:K06374
CKJNFLKG_03563 ko:K02204,ko:K13059
CKJNFLKG_03564 -
CKJNFLKG_03565 -
CKJNFLKG_03566 ko:K07240
CKJNFLKG_03567 -
CKJNFLKG_03568 ko:K07533
CKJNFLKG_03569 ko:K03723
CKJNFLKG_03570 ko:K01056
CKJNFLKG_03571 -
CKJNFLKG_03572 -
CKJNFLKG_03577 -
CKJNFLKG_03578 -
CKJNFLKG_03579 -
CKJNFLKG_03581 ko:K01620
CKJNFLKG_03582 -
CKJNFLKG_03583 -
CKJNFLKG_03584 ko:K03147
CKJNFLKG_03585 ko:K03154
CKJNFLKG_03586 ko:K03148
CKJNFLKG_03587 ko:K03149
CKJNFLKG_03588 ko:K03150
CKJNFLKG_03589 ko:K00788
CKJNFLKG_03590 ko:K01273
CKJNFLKG_03614 -
CKJNFLKG_03616 -
CKJNFLKG_03617 ko:K00700
CKJNFLKG_03618 -
CKJNFLKG_03619 -
CKJNFLKG_03620 ko:K03424
CKJNFLKG_03621 -
CKJNFLKG_03622 ko:K01537
CKJNFLKG_03623 -
CKJNFLKG_03624 ko:K01190
CKJNFLKG_03625 -
CKJNFLKG_03626 -
CKJNFLKG_03627 -
CKJNFLKG_03628 -
CKJNFLKG_03629 -
CKJNFLKG_03632 ko:K02529
CKJNFLKG_03633 ko:K01874
CKJNFLKG_03635 -
CKJNFLKG_03636 -
CKJNFLKG_03640 -
CKJNFLKG_03641 -
CKJNFLKG_03643 -
CKJNFLKG_03649 -
CKJNFLKG_03650 -
CKJNFLKG_03651 -
CKJNFLKG_03652 ko:K00265
CKJNFLKG_03654 -
CKJNFLKG_03655 -
CKJNFLKG_03656 -
CKJNFLKG_03657 ko:K01803
CKJNFLKG_03658 -
CKJNFLKG_03659 ko:K17195
CKJNFLKG_03660 -
CKJNFLKG_03661 ko:K00615
CKJNFLKG_03662 ko:K00615
CKJNFLKG_03663 -
CKJNFLKG_03664 -
CKJNFLKG_03665 ko:K02049
CKJNFLKG_03666 -
CKJNFLKG_03667 ko:K02050
CKJNFLKG_03669 ko:K02529
CKJNFLKG_03670 ko:K02529
CKJNFLKG_03671 ko:K06373
CKJNFLKG_03672 -
CKJNFLKG_03673 ko:K07282
CKJNFLKG_03674 ko:K07056
CKJNFLKG_03675 -
CKJNFLKG_03676 -
CKJNFLKG_03677 ko:K02341
CKJNFLKG_03678 -
CKJNFLKG_03679 ko:K01585
CKJNFLKG_03688 -
CKJNFLKG_03689 -
CKJNFLKG_03690 ko:K06921
CKJNFLKG_03691 -
CKJNFLKG_03692 ko:K00789
CKJNFLKG_03693 ko:K00065
CKJNFLKG_03694 -
CKJNFLKG_03695 -
CKJNFLKG_03698 ko:K08322
CKJNFLKG_03699 -
CKJNFLKG_03707 -
CKJNFLKG_03708 ko:K00790
CKJNFLKG_03709 ko:K00891
CKJNFLKG_03710 -
CKJNFLKG_03713 ko:K15986
CKJNFLKG_03714 ko:K02945
CKJNFLKG_03715 ko:K07035
CKJNFLKG_03716 ko:K07816
CKJNFLKG_03717 -
CKJNFLKG_03718 -
CKJNFLKG_03719 ko:K03292
CKJNFLKG_03720 -
CKJNFLKG_03721 -
CKJNFLKG_03723 -
CKJNFLKG_03724 -
CKJNFLKG_03726 -
CKJNFLKG_03727 -
CKJNFLKG_03729 ko:K02528
CKJNFLKG_03730 -
CKJNFLKG_03731 ko:K00688
CKJNFLKG_03732 ko:K01870
CKJNFLKG_03736 ko:K01990
CKJNFLKG_03737 -
CKJNFLKG_03738 ko:K07258
CKJNFLKG_03739 -
CKJNFLKG_03740 -
CKJNFLKG_03741 ko:K03798
CKJNFLKG_03742 ko:K03086
CKJNFLKG_03743 -
CKJNFLKG_03744 -
CKJNFLKG_03745 -
CKJNFLKG_03746 -
CKJNFLKG_03747 ko:K10206
CKJNFLKG_03748 -
CKJNFLKG_03749 ko:K01915
CKJNFLKG_03754 ko:K02669
CKJNFLKG_03755 -
CKJNFLKG_03758 -
CKJNFLKG_03759 -
CKJNFLKG_03763 -
CKJNFLKG_03764 -
CKJNFLKG_03766 -
CKJNFLKG_03767 -
CKJNFLKG_03768 -
CKJNFLKG_03769 -
CKJNFLKG_03770 ko:K01915
CKJNFLKG_03771 ko:K00764
CKJNFLKG_03772 -
CKJNFLKG_03777 -
CKJNFLKG_03779 -
CKJNFLKG_03782 -
CKJNFLKG_03783 -
CKJNFLKG_03785 -
CKJNFLKG_03789 -
CKJNFLKG_03790 -
CKJNFLKG_03799 -
CKJNFLKG_03800 -
CKJNFLKG_03805 -
CKJNFLKG_03806 -
CKJNFLKG_03807 -
CKJNFLKG_03808 -
CKJNFLKG_03809 -
CKJNFLKG_03810 ko:K01875
CKJNFLKG_03811 -
CKJNFLKG_03812 ko:K03497
CKJNFLKG_03813 ko:K03496
CKJNFLKG_03815 -
CKJNFLKG_03816 -
CKJNFLKG_03817 -
CKJNFLKG_03818 ko:K01992
CKJNFLKG_03819 ko:K01990
CKJNFLKG_03822 -
CKJNFLKG_03823 -
CKJNFLKG_03824 ko:K03501
CKJNFLKG_03825 ko:K03495
CKJNFLKG_03826 ko:K03650
CKJNFLKG_03827 ko:K06346
CKJNFLKG_03828 ko:K03217
CKJNFLKG_03829 ko:K03536
CKJNFLKG_03830 ko:K02914
CKJNFLKG_03831 ko:K02313
CKJNFLKG_03832 ko:K02313
CKJNFLKG_03833 ko:K02338
CKJNFLKG_03834 ko:K14761
CKJNFLKG_03835 ko:K03629
CKJNFLKG_03836 ko:K02470
CKJNFLKG_03837 ko:K02469
CKJNFLKG_03838 -
CKJNFLKG_03839 ko:K00655
CKJNFLKG_03853 -
CKJNFLKG_03889 -
CKJNFLKG_03891 -
CKJNFLKG_03892 -
CKJNFLKG_03894 -
CKJNFLKG_03905 -
CKJNFLKG_03908 -
CKJNFLKG_03909 -
CKJNFLKG_03910 -
CKJNFLKG_03911 ko:K01740
CKJNFLKG_03912 -
CKJNFLKG_03913 ko:K06381
CKJNFLKG_03914 -
CKJNFLKG_03915 -
CKJNFLKG_03916 ko:K07461
CKJNFLKG_03917 ko:K01443
CKJNFLKG_03918 ko:K01788
CKJNFLKG_03919 ko:K01639
CKJNFLKG_03920 -
CKJNFLKG_03921 -
CKJNFLKG_03922 -
CKJNFLKG_03923 -
CKJNFLKG_03924 ko:K09825
CKJNFLKG_03925 -
CKJNFLKG_03926 -
CKJNFLKG_03927 -
CKJNFLKG_03928 -
CKJNFLKG_03932 ko:K05341
CKJNFLKG_03933 ko:K11068
CKJNFLKG_03934 -
CKJNFLKG_03937 -
CKJNFLKG_03939 -
CKJNFLKG_03941 -
CKJNFLKG_03942 -
CKJNFLKG_03943 -
CKJNFLKG_03944 -
CKJNFLKG_03945 ko:K07407
CKJNFLKG_03946 -
CKJNFLKG_03947 -
CKJNFLKG_03948 ko:K02529
CKJNFLKG_03949 -
CKJNFLKG_03950 -
CKJNFLKG_03951 -
CKJNFLKG_03952 -
CKJNFLKG_03957 -
CKJNFLKG_03961 -
CKJNFLKG_03962 -
CKJNFLKG_03963 -
CKJNFLKG_03965 -
CKJNFLKG_03966 -
CKJNFLKG_03967 -
CKJNFLKG_03971 -
CKJNFLKG_03995 -
CKJNFLKG_03996 -
CKJNFLKG_04000 -
CKJNFLKG_04001 -
CKJNFLKG_04003 -
CKJNFLKG_04004 -
CKJNFLKG_04005 -
CKJNFLKG_04006 ko:K14155
CKJNFLKG_04008 -
CKJNFLKG_04011 ko:K04769
CKJNFLKG_04012 ko:K00763
CKJNFLKG_04013 ko:K07260
CKJNFLKG_04014 -
CKJNFLKG_04015 -
CKJNFLKG_04016 -
CKJNFLKG_04017 ko:K00854
CKJNFLKG_04018 -
CKJNFLKG_04019 -
CKJNFLKG_04020 -
CKJNFLKG_04021 -
CKJNFLKG_04034 -
CKJNFLKG_04035 ko:K00243
CKJNFLKG_04036 -
CKJNFLKG_04037 ko:K02337
CKJNFLKG_04038 ko:K00850
CKJNFLKG_04039 -
CKJNFLKG_04040 -
CKJNFLKG_04041 ko:K03437
CKJNFLKG_04042 ko:K01449
CKJNFLKG_04043 -
CKJNFLKG_04044 -
CKJNFLKG_04046 ko:K06901
CKJNFLKG_04047 -
CKJNFLKG_04048 -
CKJNFLKG_04049 -
CKJNFLKG_04050 -
CKJNFLKG_04051 -
CKJNFLKG_04052 -
CKJNFLKG_04053 ko:K03524
CKJNFLKG_04054 -
CKJNFLKG_04055 -
CKJNFLKG_04056 -
CKJNFLKG_04057 ko:K03624
CKJNFLKG_04058 ko:K04567
CKJNFLKG_04103 -
CKJNFLKG_04126 ko:K03205
CKJNFLKG_04127 ko:K02945
CKJNFLKG_04133 -
CKJNFLKG_04138 -
CKJNFLKG_04142 -
CKJNFLKG_04145 ko:K01092
CKJNFLKG_04187 -
CKJNFLKG_04190 -
CKJNFLKG_04193 -
CKJNFLKG_04194 -
CKJNFLKG_04195 -
CKJNFLKG_04196 -
CKJNFLKG_04197 -
CKJNFLKG_04198 -
CKJNFLKG_04199 -
CKJNFLKG_04201 -
CKJNFLKG_04209 ko:K10112
CKJNFLKG_04220 -
CKJNFLKG_04225 -
CKJNFLKG_04256 ko:K08600
CKJNFLKG_04276 -
CKJNFLKG_04279 ko:K01972
CKJNFLKG_04312 ko:K18640
CKJNFLKG_04326 -
CKJNFLKG_04329 -
CKJNFLKG_04331 ko:K02003
CKJNFLKG_04336 -
CKJNFLKG_04338 -
CKJNFLKG_04342 -
CKJNFLKG_04343 -
CKJNFLKG_04344 -
CKJNFLKG_04345 -
CKJNFLKG_04346 -
CKJNFLKG_04347 ko:K15583
CKJNFLKG_04348 ko:K10823
CKJNFLKG_04349 -
CKJNFLKG_04353 -
CKJNFLKG_04359 -
CKJNFLKG_04361 -
CKJNFLKG_04362 -
CKJNFLKG_04365 -
CKJNFLKG_04366 ko:K02601
CKJNFLKG_04367 ko:K02867
CKJNFLKG_04368 ko:K02863
CKJNFLKG_04373 -
CKJNFLKG_04377 ko:K02864
CKJNFLKG_04378 ko:K02935
CKJNFLKG_04381 ko:K03043
CKJNFLKG_04382 ko:K03046
CKJNFLKG_04383 -
CKJNFLKG_04384 ko:K02950
CKJNFLKG_04385 ko:K02992
CKJNFLKG_04386 ko:K02355
CKJNFLKG_04387 ko:K02358
CKJNFLKG_04388 -
CKJNFLKG_04389 ko:K11261
CKJNFLKG_04390 ko:K07456
CKJNFLKG_04396 -
CKJNFLKG_04398 ko:K02025
CKJNFLKG_04399 -
CKJNFLKG_04403 -
CKJNFLKG_04404 -
CKJNFLKG_04406 -
CKJNFLKG_04407 -
CKJNFLKG_04409 ko:K02529
CKJNFLKG_04410 -
CKJNFLKG_04411 ko:K02025,ko:K10189
CKJNFLKG_04412 ko:K02026
CKJNFLKG_04413 -
CKJNFLKG_04416 -
CKJNFLKG_04417 -
CKJNFLKG_04419 -
CKJNFLKG_04422 ko:K07727
CKJNFLKG_04423 -
CKJNFLKG_04424 -
CKJNFLKG_04427 -
CKJNFLKG_04428 -
CKJNFLKG_04430 -
CKJNFLKG_04431 -
CKJNFLKG_04432 -
CKJNFLKG_04433 -
CKJNFLKG_04434 -
CKJNFLKG_04435 -
CKJNFLKG_04436 ko:K00059
CKJNFLKG_04437 -
CKJNFLKG_04440 -
CKJNFLKG_04443 -
CKJNFLKG_04444 -
CKJNFLKG_04445 -
CKJNFLKG_04446 -
CKJNFLKG_04448 -
CKJNFLKG_04453 -
CKJNFLKG_04456 -
CKJNFLKG_04457 -
CKJNFLKG_04458 -
CKJNFLKG_04459 -
CKJNFLKG_04460 -
CKJNFLKG_04462 -
CKJNFLKG_04463 -
CKJNFLKG_04465 ko:K10117
CKJNFLKG_04466 -
CKJNFLKG_04467 -
CKJNFLKG_04469 -
CKJNFLKG_04470 -
CKJNFLKG_04471 ko:K01736
CKJNFLKG_04472 ko:K01424
CKJNFLKG_04473 -
CKJNFLKG_04474 -
CKJNFLKG_04475 -
CKJNFLKG_04476 -
CKJNFLKG_04477 ko:K06969
CKJNFLKG_04478 ko:K01537
CKJNFLKG_04479 -
CKJNFLKG_04480 -
CKJNFLKG_04481 ko:K01197
CKJNFLKG_04482 ko:K01197
CKJNFLKG_04483 -
CKJNFLKG_04484 ko:K01921
CKJNFLKG_04485 ko:K01929
CKJNFLKG_04486 -
CKJNFLKG_04487 -
CKJNFLKG_04488 -
CKJNFLKG_04514 ko:K02010
CKJNFLKG_04515 ko:K07012
CKJNFLKG_04516 -
CKJNFLKG_04517 -
CKJNFLKG_04518 -
CKJNFLKG_04519 -
CKJNFLKG_04521 ko:K09951
CKJNFLKG_04522 -
CKJNFLKG_04523 ko:K00655
CKJNFLKG_04524 -
CKJNFLKG_04525 -
CKJNFLKG_04526 -
CKJNFLKG_04527 ko:K00919
CKJNFLKG_04528 -
CKJNFLKG_04529 ko:K06310
CKJNFLKG_04531 -
CKJNFLKG_04532 ko:K06387
CKJNFLKG_04533 ko:K01776
CKJNFLKG_04534 -
CKJNFLKG_04535 -
CKJNFLKG_04536 ko:K03545
CKJNFLKG_04537 ko:K21467
CKJNFLKG_04538 -
CKJNFLKG_04539 -
CKJNFLKG_04540 -
CKJNFLKG_04541 -
CKJNFLKG_04542 ko:K19689
CKJNFLKG_04550 -
CKJNFLKG_04551 -
CKJNFLKG_04552 ko:K01893
CKJNFLKG_04553 ko:K03547
CKJNFLKG_04554 -
CKJNFLKG_04555 -
CKJNFLKG_04556 ko:K00948
CKJNFLKG_04557 ko:K02315
CKJNFLKG_04558 -
CKJNFLKG_04559 ko:K01924
CKJNFLKG_04560 ko:K00975
CKJNFLKG_04561 ko:K00975
CKJNFLKG_04562 ko:K06412
CKJNFLKG_04566 -
CKJNFLKG_04568 ko:K07088
CKJNFLKG_04571 -
CKJNFLKG_04572 -
CKJNFLKG_04574 ko:K11991
CKJNFLKG_04575 ko:K00548
CKJNFLKG_04576 -
CKJNFLKG_04578 ko:K21071
CKJNFLKG_04579 ko:K02343
CKJNFLKG_04580 ko:K09747
CKJNFLKG_04581 ko:K06187
CKJNFLKG_04582 ko:K02529
CKJNFLKG_04583 ko:K00616
CKJNFLKG_04584 ko:K00615
CKJNFLKG_04585 ko:K00615
CKJNFLKG_04586 -
CKJNFLKG_04588 -
CKJNFLKG_04589 -
CKJNFLKG_04590 -
CKJNFLKG_04591 -
CKJNFLKG_04592 ko:K10117
CKJNFLKG_04593 ko:K10118
CKJNFLKG_04594 ko:K10119
CKJNFLKG_04595 ko:K01182
CKJNFLKG_04606 -
CKJNFLKG_04608 -
CKJNFLKG_04609 -
CKJNFLKG_04610 -
CKJNFLKG_04611 -
CKJNFLKG_04612 -
CKJNFLKG_04613 -
CKJNFLKG_04614 -
CKJNFLKG_04615 -
CKJNFLKG_04616 -
CKJNFLKG_04617 -
CKJNFLKG_04618 -
CKJNFLKG_04619 -
CKJNFLKG_04622 -
CKJNFLKG_04675 -
CKJNFLKG_04677 -
CKJNFLKG_04685 -
CKJNFLKG_04715 -
CKJNFLKG_04721 -
CKJNFLKG_04722 -
CKJNFLKG_04726 -
CKJNFLKG_04727 -
CKJNFLKG_04731 -
CKJNFLKG_04732 -
CKJNFLKG_04733 -
CKJNFLKG_04734 ko:K00040
CKJNFLKG_04735 ko:K01686
CKJNFLKG_04736 -
CKJNFLKG_04737 -
CKJNFLKG_04738 -
CKJNFLKG_04739 -
CKJNFLKG_04740 -
CKJNFLKG_04741 ko:K02217
CKJNFLKG_04742 -
CKJNFLKG_04743 -
CKJNFLKG_04744 -
CKJNFLKG_04745 -
CKJNFLKG_04746 -
CKJNFLKG_04747 -
CKJNFLKG_04750 -
CKJNFLKG_04752 -
CKJNFLKG_04753 -
CKJNFLKG_04756 -
CKJNFLKG_04757 -
CKJNFLKG_04759 -
CKJNFLKG_04767 -
CKJNFLKG_04768 -
CKJNFLKG_04769 ko:K01914
CKJNFLKG_04770 ko:K06898
CKJNFLKG_04771 -
CKJNFLKG_04772 -
CKJNFLKG_04773 -
CKJNFLKG_04774 ko:K03518
CKJNFLKG_04775 -
CKJNFLKG_04776 -
CKJNFLKG_04777 ko:K01267
CKJNFLKG_04778 -
CKJNFLKG_04780 -
CKJNFLKG_04783 -
CKJNFLKG_04785 -
CKJNFLKG_04786 -
CKJNFLKG_04787 -
CKJNFLKG_04788 -
CKJNFLKG_04789 -
CKJNFLKG_04790 -
CKJNFLKG_04791 -
CKJNFLKG_04792 ko:K21471
CKJNFLKG_04793 ko:K22405
CKJNFLKG_04797 -
CKJNFLKG_04803 ko:K03695
CKJNFLKG_04804 -
CKJNFLKG_04806 -
CKJNFLKG_04809 -
CKJNFLKG_04810 -
CKJNFLKG_04811 ko:K05349
CKJNFLKG_04812 -
CKJNFLKG_04813 ko:K04083
CKJNFLKG_04814 ko:K01950
CKJNFLKG_04815 ko:K18369
CKJNFLKG_04816 -
CKJNFLKG_04817 -
CKJNFLKG_04818 ko:K02529
CKJNFLKG_04819 ko:K10117
CKJNFLKG_04820 ko:K10118
CKJNFLKG_04821 -
CKJNFLKG_04822 -
CKJNFLKG_04823 -
CKJNFLKG_04824 -
CKJNFLKG_04825 ko:K16899
CKJNFLKG_04826 ko:K16898
CKJNFLKG_04827 -
CKJNFLKG_04830 -
CKJNFLKG_04831 -
CKJNFLKG_04833 ko:K10947
CKJNFLKG_04834 -
CKJNFLKG_04835 -
CKJNFLKG_04836 -
CKJNFLKG_04838 -
CKJNFLKG_04839 ko:K01873
CKJNFLKG_04840 -
CKJNFLKG_04841 ko:K11754
CKJNFLKG_04842 -
CKJNFLKG_04843 -
CKJNFLKG_04844 ko:K06378
CKJNFLKG_04845 ko:K06379
CKJNFLKG_04846 ko:K03091
CKJNFLKG_04847 ko:K06403
CKJNFLKG_04848 ko:K06404
CKJNFLKG_04852 ko:K09704
CKJNFLKG_04856 ko:K07720
CKJNFLKG_04858 -
CKJNFLKG_04864 -
CKJNFLKG_04865 -
CKJNFLKG_04866 ko:K17320
CKJNFLKG_04870 -
CKJNFLKG_04873 ko:K17319
CKJNFLKG_04874 ko:K17320
CKJNFLKG_04875 ko:K17318
CKJNFLKG_04876 ko:K09988
CKJNFLKG_04878 -
CKJNFLKG_04879 ko:K06405
CKJNFLKG_04880 ko:K06406
CKJNFLKG_04881 ko:K06407
CKJNFLKG_04882 ko:K22132
CKJNFLKG_04883 ko:K00075
CKJNFLKG_04884 ko:K06958
CKJNFLKG_04885 ko:K09762
CKJNFLKG_04886 -
CKJNFLKG_04888 -
CKJNFLKG_04889 -
CKJNFLKG_04890 -
CKJNFLKG_04892 -
CKJNFLKG_04897 ko:K01191
CKJNFLKG_04898 -
CKJNFLKG_04899 -
CKJNFLKG_04900 ko:K00027
CKJNFLKG_04901 ko:K02946
CKJNFLKG_04902 ko:K02906
CKJNFLKG_04903 ko:K02926
CKJNFLKG_04904 ko:K02892
CKJNFLKG_04905 ko:K02886
CKJNFLKG_04906 ko:K02965
CKJNFLKG_04907 ko:K02890
CKJNFLKG_04908 ko:K02982
CKJNFLKG_04909 ko:K02878
CKJNFLKG_04910 ko:K02904
CKJNFLKG_04913 ko:K02895
CKJNFLKG_04914 ko:K02931
CKJNFLKG_04916 ko:K02994
CKJNFLKG_04917 ko:K02933
CKJNFLKG_04918 ko:K02881
CKJNFLKG_04919 ko:K02988
CKJNFLKG_04920 ko:K02907
CKJNFLKG_04921 ko:K02876
CKJNFLKG_04922 ko:K03076
CKJNFLKG_04923 ko:K00939
CKJNFLKG_04924 ko:K01265
CKJNFLKG_04925 -
CKJNFLKG_04926 ko:K02518
CKJNFLKG_04927 ko:K02952
CKJNFLKG_04928 ko:K02948
CKJNFLKG_04929 ko:K02986
CKJNFLKG_04930 ko:K03040
CKJNFLKG_04931 ko:K02879
CKJNFLKG_04932 -
CKJNFLKG_04933 -
CKJNFLKG_04934 ko:K01915
CKJNFLKG_04935 -
CKJNFLKG_04936 -
CKJNFLKG_04937 -
CKJNFLKG_04941 -
CKJNFLKG_04944 -
CKJNFLKG_04945 ko:K05946
CKJNFLKG_04946 -
CKJNFLKG_04947 ko:K02647
CKJNFLKG_04948 ko:K09812
CKJNFLKG_04949 ko:K09811
CKJNFLKG_04950 ko:K03797
CKJNFLKG_04951 -
CKJNFLKG_04953 -
CKJNFLKG_04954 -
CKJNFLKG_04955 -
CKJNFLKG_04956 -
CKJNFLKG_04963 -
CKJNFLKG_04964 -
CKJNFLKG_04965 -
CKJNFLKG_04966 -
CKJNFLKG_04984 -
CKJNFLKG_04985 ko:K03702
CKJNFLKG_04986 -
CKJNFLKG_04988 ko:K03705
CKJNFLKG_04989 ko:K03687
CKJNFLKG_04990 ko:K04043
CKJNFLKG_04991 ko:K03686
CKJNFLKG_04999 -
CKJNFLKG_05000 -
CKJNFLKG_05001 -
CKJNFLKG_05002 ko:K02687
CKJNFLKG_05003 ko:K09761
CKJNFLKG_05004 ko:K04487
CKJNFLKG_05005 ko:K03151
CKJNFLKG_05006 -
CKJNFLKG_05007 ko:K18707
CKJNFLKG_05008 -
CKJNFLKG_05009 ko:K07447
CKJNFLKG_05010 -
CKJNFLKG_05011 ko:K12574
CKJNFLKG_05012 -
CKJNFLKG_05013 ko:K07082
CKJNFLKG_05014 -
CKJNFLKG_05015 ko:K08303
CKJNFLKG_05016 ko:K03091
CKJNFLKG_05019 ko:K07391
CKJNFLKG_05020 ko:K04096
CKJNFLKG_05021 ko:K03168
CKJNFLKG_05022 ko:K03706
CKJNFLKG_05023 ko:K04078
CKJNFLKG_05024 ko:K04077
CKJNFLKG_05025 -
CKJNFLKG_05026 ko:K00088
CKJNFLKG_05027 -
CKJNFLKG_05028 -
CKJNFLKG_05029 -
CKJNFLKG_05030 -
CKJNFLKG_05031 -
CKJNFLKG_05032 -
CKJNFLKG_05033 ko:K01811
CKJNFLKG_05036 -
CKJNFLKG_05037 -
CKJNFLKG_05038 ko:K01990
CKJNFLKG_05039 -
CKJNFLKG_05047 -
CKJNFLKG_05050 -
CKJNFLKG_05051 -
CKJNFLKG_05052 ko:K07335
CKJNFLKG_05053 ko:K02056
CKJNFLKG_05054 ko:K02057
CKJNFLKG_05055 ko:K02057
CKJNFLKG_05056 ko:K03524
CKJNFLKG_05057 -
CKJNFLKG_05058 -
CKJNFLKG_05059 ko:K00560
CKJNFLKG_05060 -
CKJNFLKG_05061 ko:K00287
CKJNFLKG_05062 ko:K00826
CKJNFLKG_05063 -
CKJNFLKG_05064 -
CKJNFLKG_05065 ko:K03526
CKJNFLKG_05066 ko:K03763
CKJNFLKG_05067 ko:K11754
CKJNFLKG_05068 ko:K01495
CKJNFLKG_05070 ko:K00796
CKJNFLKG_05071 ko:K13940
CKJNFLKG_05072 ko:K04720
CKJNFLKG_05073 -
CKJNFLKG_05074 -
CKJNFLKG_05075 -
CKJNFLKG_05076 -
CKJNFLKG_05077 ko:K01756
CKJNFLKG_05078 -
CKJNFLKG_05079 -
CKJNFLKG_05080 ko:K01939
CKJNFLKG_05081 ko:K07025
CKJNFLKG_05082 ko:K01308
CKJNFLKG_05083 -
CKJNFLKG_05085 -
CKJNFLKG_05086 ko:K01512
CKJNFLKG_05089 -
CKJNFLKG_05091 -
CKJNFLKG_05093 -
CKJNFLKG_05094 -
CKJNFLKG_05095 -
CKJNFLKG_05106 ko:K02027
CKJNFLKG_05110 -
CKJNFLKG_05125 -
CKJNFLKG_05128 -
CKJNFLKG_05129 -
CKJNFLKG_05130 -
CKJNFLKG_05131 -
CKJNFLKG_05132 -
CKJNFLKG_05133 -
CKJNFLKG_05134 ko:K02520
CKJNFLKG_05135 ko:K02916
CKJNFLKG_05136 ko:K02887
CKJNFLKG_05137 -
CKJNFLKG_05138 -
CKJNFLKG_05140 ko:K22278
CKJNFLKG_05141 ko:K07478
CKJNFLKG_05142 -
CKJNFLKG_05143 ko:K07139
CKJNFLKG_05144 ko:K02424
CKJNFLKG_05145 -
CKJNFLKG_05146 -
