locus_tag	ftype	length_bp	gene	EC_number	COG	product
CKJNFLKG_02575	CDS	1491	malQ_2	2.4.1.25	COG1640	4-alpha-glucanotransferase
CKJNFLKG_02576	CDS	618	lacA_1	2.3.1.18	COG0110	Galactoside O-acetyltransferase
CKJNFLKG_02577	CDS	1074	iolG_4	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
CKJNFLKG_02578	CDS	915				hypothetical protein
CKJNFLKG_02579	CDS	960				hypothetical protein
CKJNFLKG_02580	CDS	393				hypothetical protein
CKJNFLKG_02581	CDS	1020				hypothetical protein
CKJNFLKG_02582	CDS	1116	iolG_5	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
CKJNFLKG_02583	CDS	1383	xylP_5			Isoprimeverose transporter
CKJNFLKG_02584	CDS	2406	rhaS_11			HTH-type transcriptional activator RhaS
CKJNFLKG_02585	CDS	1047	uvrC_1			UvrABC system protein C
CKJNFLKG_02586	CDS	1050	rsmH_2	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
CKJNFLKG_02587	CDS	555				hypothetical protein
CKJNFLKG_02588	CDS	381				hypothetical protein
CKJNFLKG_02589	CDS	249				hypothetical protein
CKJNFLKG_02590	CDS	477				hypothetical protein
CKJNFLKG_02591	CDS	1401	levB	3.2.1.64	COG1621	Levanbiose-producing levanase
CKJNFLKG_02592	CDS	843	dasC_1		COG0395	Diacetylchitobiose uptake system permease protein DasC
CKJNFLKG_02593	CDS	885	araP_2		COG1175	L-arabinose transport system permease protein AraP
CKJNFLKG_02594	CDS	1338	msmE_3		COG1653	Multiple sugar-binding protein
CKJNFLKG_02595	CDS	1551	hutH_5	4.3.1.3	COG2986	Histidine ammonia-lyase
CKJNFLKG_02596	CDS	1347				hypothetical protein
CKJNFLKG_02597	CDS	2001	fldZ_2	1.3.1.-		Cinnamate reductase
CKJNFLKG_02598	CDS	2001	hutU_3	4.2.1.49	COG2987	Urocanate hydratase
CKJNFLKG_02599	CDS	1185	wbpI	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
CKJNFLKG_02600	CDS	1215	wbjC	1.1.1.367		UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase
CKJNFLKG_02601	CDS	1053	capD	5.1.3.2	COG1086	UDP-glucose 4-epimerase
CKJNFLKG_02602	CDS	1209				hypothetical protein
CKJNFLKG_02603	CDS	570	wbpD	2.3.1.201	COG0110	UDP-2-acetamido-3-amino-2,3-dideoxy-D-glucuronate N-acetyltransferase
CKJNFLKG_02604	CDS	1077	iolG_6	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
CKJNFLKG_02605	CDS	1173	fdtB	2.6.1.90		dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase
CKJNFLKG_02606	CDS	1200	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
CKJNFLKG_02607	CDS	1158				hypothetical protein
CKJNFLKG_02608	CDS	1218				hypothetical protein
CKJNFLKG_02609	CDS	603	dapH_2	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
CKJNFLKG_02610	CDS	1224	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
CKJNFLKG_02611	CDS	1203	purD_3	6.3.4.13		Phosphoribosylamine--glycine ligase
CKJNFLKG_02612	CDS	657	epsL	2.-.-.-	COG2148	putative sugar transferase EpsL
CKJNFLKG_02613	CDS	1008	rmd	1.1.1.281		GDP-6-deoxy-D-mannose reductase
CKJNFLKG_02614	CDS	1227	arnB	2.6.1.87		UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
CKJNFLKG_02615	CDS	2256	pglF_1	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
CKJNFLKG_02616	CDS	1224				hypothetical protein
CKJNFLKG_02617	CDS	1011				hypothetical protein
CKJNFLKG_02618	CDS	147				hypothetical protein
CKJNFLKG_02619	CDS	240				hypothetical protein
CKJNFLKG_02620	CDS	240			COG4753	putative response regulatory protein
CKJNFLKG_02621	CDS	564	bioY		COG1268	Biotin transporter BioY
CKJNFLKG_02622	CDS	120				hypothetical protein
CKJNFLKG_02623	CDS	270				hypothetical protein
CKJNFLKG_02624	CDS	1098	feoB_2		COG0370	Fe(2+) transporter FeoB
CKJNFLKG_02625	CDS	1635				hypothetical protein
CKJNFLKG_02626	CDS	147				hypothetical protein
CKJNFLKG_02627	CDS	561				hypothetical protein
CKJNFLKG_02628	CDS	552				hypothetical protein
CKJNFLKG_02629	CDS	204				hypothetical protein
CKJNFLKG_02630	CDS	321				hypothetical protein
CKJNFLKG_02631	CDS	567	dapH_3	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
CKJNFLKG_02632	CDS	873				hypothetical protein
CKJNFLKG_02633	CDS	1464	nanR_3			HTH-type transcriptional repressor NanR
CKJNFLKG_02634	CDS	363				hypothetical protein
CKJNFLKG_02635	CDS	2559	rcsC_14	2.7.13.3		Sensor histidine kinase RcsC
CKJNFLKG_02636	CDS	459				hypothetical protein
CKJNFLKG_02637	CDS	1008	graS_3	2.7.13.3	COG0642	Sensor histidine kinase GraS
CKJNFLKG_02638	CDS	678	phoB_1		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
CKJNFLKG_02639	CDS	2088				hypothetical protein
CKJNFLKG_02640	CDS	768	bceA_4		COG1136	Bacitracin export ATP-binding protein BceA
CKJNFLKG_02641	CDS	837	feoB_3		COG0370	Fe(2+) transporter FeoB
CKJNFLKG_02642	CDS	837	cpdA_2	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
CKJNFLKG_02643	CDS	1257				hypothetical protein
CKJNFLKG_02644	CDS	168				hypothetical protein
CKJNFLKG_02645	CDS	420				hypothetical protein
CKJNFLKG_02646	CDS	186				hypothetical protein
CKJNFLKG_02647	CDS	513				hypothetical protein
CKJNFLKG_02648	CDS	843	xerD_3		COG4974	Tyrosine recombinase XerD
CKJNFLKG_02649	CDS	1395	alsT_4		COG1115	Amino-acid carrier protein AlsT
CKJNFLKG_02650	CDS	1113	ald	1.4.1.1		Alanine dehydrogenase
CKJNFLKG_02651	CDS	858				hypothetical protein
CKJNFLKG_02652	CDS	252				hypothetical protein
CKJNFLKG_02653	CDS	1137	xerC_2			Tyrosine recombinase XerC
CKJNFLKG_02654	CDS	1170				hypothetical protein
CKJNFLKG_02655	CDS	1842		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
CKJNFLKG_02656	CDS	1536		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
CKJNFLKG_02657	CDS	249				hypothetical protein
CKJNFLKG_02658	CDS	585				hypothetical protein
CKJNFLKG_02659	CDS	867	rhaS_12			HTH-type transcriptional activator RhaS
CKJNFLKG_02660	CDS	966				hypothetical protein
CKJNFLKG_02661	CDS	219				hypothetical protein
CKJNFLKG_02662	CDS	1473	glpK_2	2.7.1.30	COG0554	Glycerol kinase
CKJNFLKG_02663	CDS	930	aptB_2	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
CKJNFLKG_02664	CDS	831	aptA_2	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
CKJNFLKG_02665	CDS	1401				hypothetical protein
CKJNFLKG_02666	CDS	1005	rbsR_2		COG1609	Ribose operon repressor
CKJNFLKG_02667	CDS	1539				hypothetical protein
CKJNFLKG_02668	CDS	840	dasC_2		COG0395	Diacetylchitobiose uptake system permease protein DasC
CKJNFLKG_02669	CDS	882	melD_5		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
CKJNFLKG_02670	CDS	1299	msmE_4		COG1653	Multiple sugar-binding protein
CKJNFLKG_02671	CDS	816	COQ5_5	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
CKJNFLKG_02672	CDS	996	exuR_1		COG1609	putative HTH-type transcriptional repressor ExuR
CKJNFLKG_02673	CDS	1032	rbsR_3		COG1609	Ribose operon repressor
CKJNFLKG_02674	CDS	564	pgsA_2	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
CKJNFLKG_02675	CDS	564				hypothetical protein
CKJNFLKG_02676	CDS	552				hypothetical protein
CKJNFLKG_02677	CDS	579				hypothetical protein
CKJNFLKG_02678	CDS	693	cidB		COG1346	Holin-like protein CidB
CKJNFLKG_02679	CDS	372	lrgA		COG1380	Antiholin-like protein LrgA
CKJNFLKG_02680	CDS	366				hypothetical protein
CKJNFLKG_02681	CDS	2028	bglY	3.2.1.23	COG1874	Beta-galactosidase BglY
CKJNFLKG_02682	CDS	3027	cbgA	3.2.1.23		Beta-galactosidase
CKJNFLKG_02683	CDS	807	lacG_1			Lactose transport system permease protein LacG
CKJNFLKG_02684	CDS	888	lacF_6			Lactose transport system permease protein LacF
CKJNFLKG_02685	CDS	1380	lacE_2			Lactose-binding protein
CKJNFLKG_02686	CDS	933	rhaR_11			HTH-type transcriptional activator RhaR
CKJNFLKG_02687	CDS	846	dapF_1	5.1.1.7	COG0253	Diaminopimelate epimerase
CKJNFLKG_02688	CDS	846	rhaS_13			HTH-type transcriptional activator RhaS
CKJNFLKG_02689	CDS	849	dpaA	1.3.1.-		Dipicolinate synthase subunit A
CKJNFLKG_02690	CDS	579	dpaB	1.3.1.-	COG0452	Dipicolinate synthase subunit B
CKJNFLKG_02691	CDS	1851	asnO	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 3
CKJNFLKG_02692	CDS	114				hypothetical protein
CKJNFLKG_02693	CDS	681	trmO_2	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
CKJNFLKG_02694	CDS	2208				hypothetical protein
CKJNFLKG_02695	CDS	714				hypothetical protein
CKJNFLKG_02696	CDS	1260	sasA_15	2.7.-.-		Adaptive-response sensory-kinase SasA
CKJNFLKG_02697	CDS	801	saeR_2		COG0745	Response regulator SaeR
CKJNFLKG_02698	CDS	747				hypothetical protein
CKJNFLKG_02699	CDS	729				hypothetical protein
CKJNFLKG_02700	CDS	702	bcrA_7			Bacitracin transport ATP-binding protein BcrA
CKJNFLKG_02701	CDS	222				hypothetical protein
CKJNFLKG_02702	CDS	117				hypothetical protein
CKJNFLKG_02703	CDS	1233				hypothetical protein
CKJNFLKG_02704	CDS	885	yxlF_2	3.6.3.-	COG1131	putative ABC transporter ATP-binding protein YxlF
CKJNFLKG_02705	CDS	558				hypothetical protein
CKJNFLKG_02706	CDS	519	sigW_3		COG1595	ECF RNA polymerase sigma factor SigW
CKJNFLKG_02707	CDS	237				hypothetical protein
CKJNFLKG_02708	CDS	222				hypothetical protein
CKJNFLKG_02709	CDS	921				hypothetical protein
CKJNFLKG_02710	CDS	897	iolE_1	4.2.1.44	COG1082	Inosose dehydratase
CKJNFLKG_02711	CDS	2094	cmk_5	2.7.4.25		Cytidylate kinase
CKJNFLKG_02712	CDS	831	iolI	5.3.99.11	COG1082	Inosose isomerase
CKJNFLKG_02713	CDS	1005	iolG_7	1.1.1.18	COG0673	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
CKJNFLKG_02714	CDS	1029	purR_1			HTH-type transcriptional repressor PurR
CKJNFLKG_02715	CDS	363				hypothetical protein
CKJNFLKG_02716	CDS	2103				hypothetical protein
CKJNFLKG_02717	CDS	744	yxdL_2		COG1136	ABC transporter ATP-binding protein YxdL
CKJNFLKG_02718	CDS	1185				hypothetical protein
CKJNFLKG_02719	CDS	1047	mglB_1		COG1879	D-galactose-binding periplasmic protein
CKJNFLKG_02720	CDS	975				hypothetical protein
CKJNFLKG_02721	CDS	1812				hypothetical protein
CKJNFLKG_02722	CDS	1611	cheB_3	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
CKJNFLKG_02723	CDS	1656				hypothetical protein
CKJNFLKG_02724	CDS	1509	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
CKJNFLKG_02725	CDS	1305	mglB_2		COG1879	Glucose/galactose-binding lipoprotein
CKJNFLKG_02726	CDS	702	ypdB_3		COG3279	Transcriptional regulatory protein YpdB
CKJNFLKG_02727	CDS	702				hypothetical protein
CKJNFLKG_02728	CDS	612				hypothetical protein
CKJNFLKG_02729	CDS	1479				hypothetical protein
CKJNFLKG_02730	CDS	840	ngcG_4		COG0395	Diacetylchitobiose uptake system permease protein NgcG
CKJNFLKG_02731	CDS	927	lacF_7			Lactose transport system permease protein LacF
CKJNFLKG_02732	CDS	1362				hypothetical protein
CKJNFLKG_02733	CDS	999	cytR_2		COG1609	HTH-type transcriptional repressor CytR
CKJNFLKG_02734	CDS	1290				hypothetical protein
CKJNFLKG_02735	CDS	93				hypothetical protein
CKJNFLKG_02736	CDS	600				hypothetical protein
CKJNFLKG_02737	CDS	855				hypothetical protein
CKJNFLKG_02738	CDS	960				hypothetical protein
CKJNFLKG_02739	CDS	132				hypothetical protein
CKJNFLKG_02740	CDS	630	kdgR_3		COG1414	Transcriptional regulator KdgR
CKJNFLKG_02741	CDS	687				hypothetical protein
CKJNFLKG_02742	CDS	252				hypothetical protein
CKJNFLKG_02743	CDS	330	tsaR			HTH-type transcriptional regulator TsaR
CKJNFLKG_02744	CDS	903				hypothetical protein
CKJNFLKG_02745	CDS	1440	mtgB_4	2.1.1.-	COG5598	Glycine betaine methyltransferase
CKJNFLKG_02746	CDS	648	glmS_3	5.4.99.1		Glutamate mutase sigma subunit
CKJNFLKG_02747	CDS	1272	rhaR_12			HTH-type transcriptional activator RhaR
CKJNFLKG_02748	CDS	786				hypothetical protein
CKJNFLKG_02749	CDS	804				hypothetical protein
CKJNFLKG_02750	CDS	789	natA	7.2.2.4	COG4555	ABC transporter ATP-binding protein NatA
CKJNFLKG_02751	CDS	606				hypothetical protein
CKJNFLKG_02752	CDS	966				hypothetical protein
CKJNFLKG_02753	CDS	207				hypothetical protein
CKJNFLKG_02754	CDS	1566				hypothetical protein
CKJNFLKG_02755	CDS	720	ecsA		COG1131	ABC-type transporter ATP-binding protein EcsA
CKJNFLKG_02756	CDS	570				hypothetical protein
CKJNFLKG_02757	CDS	2604				hypothetical protein
CKJNFLKG_02758	CDS	687	lolD_2	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
CKJNFLKG_02759	CDS	480				hypothetical protein
CKJNFLKG_02760	CDS	642				hypothetical protein
CKJNFLKG_02761	CDS	126				hypothetical protein
CKJNFLKG_02762	CDS	1581				hypothetical protein
CKJNFLKG_02763	CDS	708	yxlF_3	3.6.3.-	COG1131	putative ABC transporter ATP-binding protein YxlF
CKJNFLKG_02764	CDS	1944				hypothetical protein
CKJNFLKG_02765	CDS	1698				hypothetical protein
CKJNFLKG_02766	CDS	747				hypothetical protein
CKJNFLKG_02767	CDS	1164	cfa	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
CKJNFLKG_02768	CDS	366				hypothetical protein
CKJNFLKG_02769	tRNA	73				tRNA-Glu(ttc)
CKJNFLKG_02770	tRNA	72				tRNA-Cys(gca)
CKJNFLKG_02771	tRNA	72				tRNA-Glu(ttc)
CKJNFLKG_02772	tRNA	72				tRNA-Cys(gca)
CKJNFLKG_02773	CDS	264				hypothetical protein
CKJNFLKG_02774	CDS	603				hypothetical protein
CKJNFLKG_02775	CDS	279				hypothetical protein
CKJNFLKG_02776	CDS	990				hypothetical protein
CKJNFLKG_02777	CDS	1293				hypothetical protein
CKJNFLKG_02778	CDS	1557				hypothetical protein
CKJNFLKG_02779	CDS	897	mlhB	3.1.1.83		Monoterpene epsilon-lactone hydrolase
CKJNFLKG_02780	CDS	1299				hypothetical protein
CKJNFLKG_02781	CDS	705				hypothetical protein
CKJNFLKG_02782	CDS	234				hypothetical protein
CKJNFLKG_02783	CDS	123				hypothetical protein
CKJNFLKG_02784	CDS	1269				hypothetical protein
CKJNFLKG_02785	rRNA	2878				23S ribosomal RNA
CKJNFLKG_02786	rRNA	1530				16S ribosomal RNA
CKJNFLKG_02787	CDS	891	rcsC_15	2.7.13.3		Sensor histidine kinase RcsC
CKJNFLKG_02788	CDS	840				hypothetical protein
CKJNFLKG_02789	CDS	915	bcrA_8			Bacitracin transport ATP-binding protein BcrA
CKJNFLKG_02790	CDS	666	mprA_1		COG0745	Response regulator MprA
CKJNFLKG_02791	CDS	261				hypothetical protein
CKJNFLKG_02792	CDS	411	def_3	3.5.1.88	COG0242	Peptide deformylase
CKJNFLKG_02793	CDS	1221				hypothetical protein
CKJNFLKG_02794	CDS	915	rhaS_14			HTH-type transcriptional activator RhaS
CKJNFLKG_02795	tRNA	74				tRNA-Asn(gtt)
CKJNFLKG_02796	rRNA	2878				23S ribosomal RNA
CKJNFLKG_02797	tRNA	73				tRNA-Ala(tgc)
CKJNFLKG_02798	tRNA	77				tRNA-Ile(gat)
CKJNFLKG_02799	rRNA	1530				16S ribosomal RNA
CKJNFLKG_02800	tRNA	91				tRNA-Ser(gga)
CKJNFLKG_02801	tRNA	88				tRNA-Ser(tga)
CKJNFLKG_02802	CDS	702	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
CKJNFLKG_02803	CDS	1032	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
CKJNFLKG_02804	CDS	912	rnz	3.1.26.11	COG1234	Ribonuclease Z
CKJNFLKG_02805	CDS	249				hypothetical protein
CKJNFLKG_02806	CDS	450	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
CKJNFLKG_02807	CDS	729	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
CKJNFLKG_02808	CDS	435	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
CKJNFLKG_02809	CDS	519				hypothetical protein
CKJNFLKG_02810	CDS	657	yigZ		COG1739	IMPACT family member YigZ
CKJNFLKG_02811	CDS	2610	mrcA		COG5009	Penicillin-binding protein 1A
CKJNFLKG_02812	CDS	942	glcK_2	2.7.1.2	COG1940	Glucokinase
CKJNFLKG_02813	CDS	945	hprK	2.7.11.-		HPr kinase/phosphorylase
CKJNFLKG_02814	CDS	1878	uvrC_2		COG0322	UvrABC system protein C
CKJNFLKG_02815	CDS	2010	ftsH4_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 4
CKJNFLKG_02816	CDS	1476				hypothetical protein
CKJNFLKG_02817	CDS	1017	lnpD	5.1.3.2		UDP-glucose 4-epimerase
CKJNFLKG_02818	CDS	1119	nahK_1	2.7.1.162		N-acetylhexosamine 1-kinase
CKJNFLKG_02819	CDS	924				hypothetical protein
CKJNFLKG_02820	CDS	333				hypothetical protein
CKJNFLKG_02821	CDS	183				hypothetical protein
CKJNFLKG_02822	CDS	138				hypothetical protein
CKJNFLKG_02823	CDS	294				hypothetical protein
CKJNFLKG_02824	CDS	525				hypothetical protein
CKJNFLKG_02825	CDS	408				hypothetical protein
CKJNFLKG_02826	CDS	654				hypothetical protein
CKJNFLKG_02827	CDS	1017				hypothetical protein
CKJNFLKG_02828	CDS	303				hypothetical protein
CKJNFLKG_02829	CDS	261				hypothetical protein
CKJNFLKG_02830	CDS	228				hypothetical protein
CKJNFLKG_02831	CDS	240				hypothetical protein
CKJNFLKG_02832	CDS	2376				hypothetical protein
CKJNFLKG_02833	CDS	444				hypothetical protein
CKJNFLKG_02834	CDS	198				hypothetical protein
CKJNFLKG_02835	CDS	2367				hypothetical protein
CKJNFLKG_02836	CDS	372				hypothetical protein
CKJNFLKG_02837	CDS	3894				hypothetical protein
CKJNFLKG_02838	CDS	606				hypothetical protein
CKJNFLKG_02839	CDS	459				hypothetical protein
CKJNFLKG_02840	CDS	492				hypothetical protein
CKJNFLKG_02841	CDS	489				hypothetical protein
CKJNFLKG_02842	CDS	447				hypothetical protein
CKJNFLKG_02843	CDS	450				hypothetical protein
CKJNFLKG_02844	CDS	348				hypothetical protein
CKJNFLKG_02845	CDS	471				hypothetical protein
CKJNFLKG_02846	CDS	1017				hypothetical protein
CKJNFLKG_02847	CDS	639				hypothetical protein
CKJNFLKG_02848	CDS	1218				hypothetical protein
CKJNFLKG_02849	CDS	1365				hypothetical protein
CKJNFLKG_02850	CDS	1647				hypothetical protein
CKJNFLKG_02851	CDS	378				hypothetical protein
CKJNFLKG_02852	CDS	324				hypothetical protein
CKJNFLKG_02853	tRNA	75				tRNA-Ile(tat)
CKJNFLKG_02854	CDS	333				hypothetical protein
CKJNFLKG_02855	CDS	456				hypothetical protein
CKJNFLKG_02856	tRNA	75				tRNA-Asn(gtt)
CKJNFLKG_02857	CDS	444				hypothetical protein
CKJNFLKG_02858	CDS	225				hypothetical protein
CKJNFLKG_02859	CDS	288				hypothetical protein
CKJNFLKG_02860	CDS	114				hypothetical protein
CKJNFLKG_02861	CDS	111				hypothetical protein
CKJNFLKG_02862	CDS	102				hypothetical protein
CKJNFLKG_02863	CDS	210				hypothetical protein
CKJNFLKG_02864	CDS	99				hypothetical protein
CKJNFLKG_02865	CDS	495				hypothetical protein
CKJNFLKG_02866	CDS	252				hypothetical protein
CKJNFLKG_02867	CDS	273				hypothetical protein
CKJNFLKG_02868	CDS	156				hypothetical protein
CKJNFLKG_02869	CDS	1026				hypothetical protein
CKJNFLKG_02870	CDS	906				hypothetical protein
CKJNFLKG_02871	CDS	324				hypothetical protein
CKJNFLKG_02872	CDS	738				hypothetical protein
CKJNFLKG_02873	CDS	465				hypothetical protein
CKJNFLKG_02874	CDS	1548				hypothetical protein
CKJNFLKG_02875	CDS	750				hypothetical protein
CKJNFLKG_02876	CDS	924				hypothetical protein
CKJNFLKG_02877	CDS	243				hypothetical protein
CKJNFLKG_02878	CDS	303				hypothetical protein
CKJNFLKG_02879	CDS	189				hypothetical protein
CKJNFLKG_02880	CDS	213				hypothetical protein
CKJNFLKG_02881	CDS	294				hypothetical protein
CKJNFLKG_02882	CDS	147				hypothetical protein
CKJNFLKG_02883	CDS	213				hypothetical protein
CKJNFLKG_02884	CDS	315				hypothetical protein
CKJNFLKG_02885	CDS	180				hypothetical protein
CKJNFLKG_02886	CDS	165				hypothetical protein
CKJNFLKG_02887	CDS	234				hypothetical protein
CKJNFLKG_02888	CDS	189				hypothetical protein
CKJNFLKG_02889	CDS	393				hypothetical protein
CKJNFLKG_02890	CDS	120				hypothetical protein
CKJNFLKG_02891	CDS	528				hypothetical protein
CKJNFLKG_02892	CDS	1041				hypothetical protein
CKJNFLKG_02893	CDS	1161				hypothetical protein
CKJNFLKG_02894	CDS	897	rhaR_13			HTH-type transcriptional activator RhaR
CKJNFLKG_02895	CDS	729	gamA	3.5.99.6	COG0363	putative glucosamine-6-phosphate deaminase 2
CKJNFLKG_02896	CDS	1284	yhaP		COG1668	putative protein YhaP
CKJNFLKG_02897	CDS	897	lnrL_2	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
CKJNFLKG_02898	CDS	747				hypothetical protein
CKJNFLKG_02899	CDS	219				hypothetical protein
CKJNFLKG_02900	CDS	834				hypothetical protein
CKJNFLKG_02901	CDS	1284	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
CKJNFLKG_02902	CDS	705			COG1136	putative ABC transporter ATP-binding protein
CKJNFLKG_02903	CDS	2925	kdpB_1	7.2.2.6		Potassium-transporting ATPase ATP-binding subunit
CKJNFLKG_02904	CDS	189				hypothetical protein
CKJNFLKG_02905	CDS	1362	trkA		COG0569	Trk system potassium uptake protein TrkA
CKJNFLKG_02906	CDS	1443	trkH		COG0168	Trk system potassium uptake protein TrkH
CKJNFLKG_02907	CDS	612	ydbD	1.11.1.6	COG3546	putative manganese catalase
CKJNFLKG_02908	CDS	420				hypothetical protein
CKJNFLKG_02909	CDS	354				hypothetical protein
CKJNFLKG_02910	CDS	663				hypothetical protein
CKJNFLKG_02911	CDS	954				hypothetical protein
CKJNFLKG_02912	CDS	1329	sasA_16	2.7.-.-		Adaptive-response sensory-kinase SasA
CKJNFLKG_02913	CDS	675	phoB_2		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
CKJNFLKG_02914	CDS	1770				hypothetical protein
CKJNFLKG_02915	CDS	747				hypothetical protein
CKJNFLKG_02916	CDS	819	punA	2.4.2.1		Purine nucleoside phosphorylase 1
CKJNFLKG_02917	CDS	729	crp		COG0664	CRP-like cAMP-activated global transcriptional regulator
CKJNFLKG_02918	CDS	666	deoC	4.1.2.4		Deoxyribose-phosphate aldolase
CKJNFLKG_02919	CDS	234				hypothetical protein
CKJNFLKG_02920	CDS	111				hypothetical protein
CKJNFLKG_02921	CDS	504	greA_1		COG0782	Transcription elongation factor GreA
CKJNFLKG_02922	CDS	525	niaR		COG1827	putative transcription repressor NiaR
CKJNFLKG_02923	CDS	858	nadC	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
CKJNFLKG_02924	CDS	1314	nadB	1.4.3.16	COG0029	L-aspartate oxidase
CKJNFLKG_02925	CDS	942	nadA	2.5.1.72	COG0379	Quinolinate synthase A
CKJNFLKG_02926	CDS	582				hypothetical protein
CKJNFLKG_02927	CDS	1011	auaH	1.1.1.394		Aurachin B dehydrogenase
CKJNFLKG_02928	CDS	93				hypothetical protein
CKJNFLKG_02929	CDS	1329	mepA_13		COG0534	Multidrug export protein MepA
CKJNFLKG_02930	CDS	708				hypothetical protein
CKJNFLKG_02931	CDS	1746				hypothetical protein
CKJNFLKG_02932	CDS	690				hypothetical protein
CKJNFLKG_02933	CDS	915	gltC_2			HTH-type transcriptional regulator GltC
CKJNFLKG_02934	CDS	2700	GFM1			Elongation factor G, mitochondrial
CKJNFLKG_02935	CDS	222				hypothetical protein
CKJNFLKG_02936	CDS	1482				hypothetical protein
CKJNFLKG_02937	CDS	2568				hypothetical protein
CKJNFLKG_02938	CDS	3621				hypothetical protein
CKJNFLKG_02939	CDS	3630				hypothetical protein
CKJNFLKG_02940	CDS	582				hypothetical protein
CKJNFLKG_02941	CDS	621				hypothetical protein
CKJNFLKG_02942	CDS	219				hypothetical protein
CKJNFLKG_02943	CDS	768				hypothetical protein
CKJNFLKG_02944	CDS	2052	kdpD_1	2.7.13.3	COG2205	Sensor protein KdpD
CKJNFLKG_02945	CDS	648	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
CKJNFLKG_02946	CDS	2067	kdpB_2	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
CKJNFLKG_02947	CDS	1716	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
CKJNFLKG_02948	CDS	195				hypothetical protein
CKJNFLKG_02949	CDS	114				hypothetical protein
CKJNFLKG_02950	CDS	114				hypothetical protein
CKJNFLKG_02951	CDS	441				hypothetical protein
CKJNFLKG_02952	CDS	393	rpsI		COG0103	30S ribosomal protein S9
CKJNFLKG_02953	CDS	429	rplM		COG0102	50S ribosomal protein L13
CKJNFLKG_02954	CDS	1917				hypothetical protein
CKJNFLKG_02955	CDS	360				hypothetical protein
CKJNFLKG_02956	CDS	438	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
CKJNFLKG_02957	CDS	963	bioB	2.8.1.6		Biotin synthase
CKJNFLKG_02958	CDS	876				hypothetical protein
CKJNFLKG_02959	CDS	549		5.3.1.15		D-lyxose ketol-isomerase
CKJNFLKG_02960	CDS	1554				hypothetical protein
CKJNFLKG_02961	CDS	417	degA_2		COG1609	HTH-type transcriptional regulator DegA
CKJNFLKG_02962	CDS	1203	nagC_2		COG1940	N-acetylglucosamine repressor
